"Szenario";"Type";"Age";"Mean_Smoothed_oop";"Mean_Smoothed_oop_a";"Mean_Smoothed_sw";"Mean_Smoothed_sw_a"
1;"Total Costs";35;17310;351;11452;232
1;"Costs G. & Prev.";35;5537;112;4429;90
1;"Costs P.";35;6302;128;2726;55
1;"Costs S. D.";35;5471;111;4297;87
1;"Total Costs";50;12063;346;8027;230
1;"Costs G. & Prev.";50;4039;116;3231;93
1;"Costs P.";50;4270;123;1849;53
1;"Costs S. D.";50;3753;108;2946;85
1;"Total Costs";65;8034;376;5219;244
1;"Costs G. & Prev.";65;2366;111;1893;89
1;"Costs P.";65;3207;150;1388;65
1;"Costs S. D.";65;2461;115;1938;91
1;"Total Costs";80;4193;429;2638;270
1;"Costs G. & Prev.";80;1064;109;851;87
1;"Costs P.";80;1914;196;828;85
1;"Costs S. D.";80;1216;124;959;98
2;"Total Costs";35;16518;333;16518;333
2;"Costs G. & Prev.";35;10118;204;10118;204
2;"Costs P.";35;3078;62;3078;62
2;"Costs S. D.";35;3321;67;3321;67
2;"Total Costs";50;11717;333;11717;333
2;"Costs G. & Prev.";50;7236;206;7236;206
2;"Costs P.";50;2168;62;2168;62
2;"Costs S. D.";50;2313;66;2313;66
2;"Total Costs";65;7362;342;7362;342
2;"Costs G. & Prev.";65;4343;202;4343;202
2;"Costs P.";65;1552;72;1552;72
2;"Costs S. D.";65;1467;68;1467;68
2;"Total Costs";80;3654;372;3653;372
2;"Costs G. & Prev.";80;2008;205;2008;205
2;"Costs P.";80;924;94;924;94
2;"Costs S. D.";80;722;74;722;74
3;"Total Costs";35;15606;315;15606;315
3;"Costs G. & Prev.";35;9283;187;9283;187
3;"Costs P.";35;3214;65;3214;65
3;"Costs S. D.";35;3109;63;3109;63
3;"Total Costs";50;10899;311;10899;311
3;"Costs G. & Prev.";50;6639;189;6639;189
3;"Costs P.";50;2153;61;2153;61
3;"Costs S. D.";50;2107;60;2107;60
3;"Total Costs";65;6885;320;6885;320
3;"Costs G. & Prev.";65;3968;185;3968;185
3;"Costs P.";65;1579;73;1579;73
3;"Costs S. D.";65;1338;62;1338;62
3;"Total Costs";80;3454;351;3454;351
3;"Costs G. & Prev.";80;1840;187;1840;187
3;"Costs P.";80;961;98;961;98
3;"Costs S. D.";80;654;66;654;66
