Alter;Q;S
0; 0.003400;100 000
1; 0.000159;99 660
2; 0.000119;99 644
3; 0.000127;99 632
4; 0.000121;99 620
5; 0.000106;99 607
6; 0.000088;99 597
7; 0.000072;99 588
8; 0.000059;99 581
9; 0.000050;99 575
10; 0.000046;99 570
11; 0.000046;99 565
12; 0.000053;99 561
13; 0.000070;99 556
14; 0.000101;99 549
15; 0.000148;99 538
16; 0.000204;99 524
17; 0.000266;99 503
18; 0.000325;99 477
19; 0.000375;99 445
20; 0.000410;99 407
21; 0.000428;99 367
22; 0.000433;99 324
23; 0.000431;99 281
24; 0.000428;99 238
25; 0.000424;99 196
26; 0.000420;99 154
27; 0.000417;99 112
28; 0.000416;99 071
29; 0.000416;99 030
30; 0.000419;98 988
31; 0.000426;98 947
32; 0.000436;98 905
33; 0.000451;98 862
34; 0.000471;98 817
35; 0.000498;98 770
36; 0.000531;98 721
37; 0.000571;98 669
38; 0.000618;98 613
39; 0.000673;98 552
40; 0.000737;98 485
41; 0.000809;98 413
42; 0.000890;98 333
43; 0.000981;98 245
44; 0.001081;98 149
45; 0.001192;98 043
46; 0.001314;97 926
47; 0.001449;97 797
48; 0.001600;97 656
49; 0.001769;97 499
50; 0.001957;97 327
51; 0.002169;97 136
52; 0.002407;96 926
53; 0.002677;96 692
54; 0.002982;96 434
55; 0.003327;96 146
56; 0.003715;95 826
57; 0.004150;95 470
58; 0.004635;95 074
59; 0.005174;94 633
60; 0.005767;94 144
61; 0.006417;93 601
62; 0.007123;93 000
63; 0.007884;92 338
64; 0.008698;91 610
65; 0.009569;90 813
66; 0.010505;89 944
67; 0.011518;88 999
68; 0.012619;87 974
69; 0.013825;86 864
70; 0.015158;85 663
71; 0.016642;84 364
72; 0.018309;82 961
73; 0.020199;81 442
74; 0.022359;79 797
75; 0.024833;78 012
76; 0.027668;76 075
77; 0.030920;73 970
78; 0.034653;71 683
79; 0.038944;69 199
80; 0.043879;66 504
81; 0.049559;63 586
82; 0.056102;60 435
83; 0.063644;57 044
84; 0.072336;53 414
85; 0.082310;49 550
86; 0.093692;45 472
87; 0.106600;41 211
88; 0.121132;36 818
89; 0.137358;32 358
90; 0.155308;27 914
91; 0.174952;23 578
92; 0.196191;19 453
93; 0.218838;15 637
94; 0.242622;12 215
95; 0.267252;9 251
96; 0.292383;6 779
97; 0.317597;4 797
98; 0.342413;3 273
99; 0.366293;2 153
100;1;1364
